schoolId,schoolName,status,failureStage,officialWebsite,candidateSourcePages,currentUnitCount,lastAttemptAt,attempts,error,recommendedAction
school-1lv9fsq,北京邮电大学,source-not-found,website-discovery,,,0,2026-07-13T09:18:50.070Z,1,third-party candidate rejected,补充学校官网或官方院系页
school-1ndasyq,北京建筑大学,pending-review,academic-unit-page-discovery,https://www.bucea.edu.cn/,,0,2026-07-13T09:19:20.295Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-1aq9mfi,北京林业大学,blocked,website-discovery,,,0,2026-07-13T09:18:27.278Z,1,学校官网返回 403，未绕过访问限制，需人工登记官方院系目录来源。,官网访问受限，暂缓处理
school-1xsk41y,北京中医药大学,pending-review,academic-unit-page-discovery,https://www.bucm.edu.cn/,,0,2026-07-13T09:20:00.320Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-1mzieaw,首都师范大学,blocked,academic-unit-page-discovery,https://www.cnu.edu.cn/,,0,2026-07-13T13:15:20.672Z,1,HTTP 403,官网访问受限，暂缓处理
school-c0j79y,北京第二外国语学院,manual-source-required,,,,0,2026-07-13T13:03:24.923Z,1,Invalid non-directory or non-school source was removed; official academic unit source needs rediscovery or manual verification.,人工补充官方来源
school-juxe64,中国人民公安大学,parse-failed,academic-unit-page-discovery,https://www.ppsuc.edu.cn/,,0,2026-07-13T12:38:10.421Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-huxuoh,国际关系学院,source-not-found,website-discovery,,,0,2026-07-13T12:38:50.169Z,1,third-party candidate rejected,补充学校官网或官方院系页
school-1h5a10k,中国音乐学院,manual-source-required,,,,0,2026-07-13T13:03:24.923Z,1,Invalid non-directory or non-school source was removed; official academic unit source needs rediscovery or manual verification.,人工补充官方来源
school-1nakfog,中央戏剧学院,pending-review,academic-unit-page-discovery,https://chntheatre.edu.cn/,,0,2026-07-13T12:40:17.087Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-ts05kw,北京电影学院,source-not-found,website-discovery,,,0,2026-07-13T12:40:58.268Z,1,third-party candidate rejected,补充学校官网或官方院系页
school-h1amj,中央民族大学,pending-review,academic-unit-page-discovery,https://www.muc.edu.cn/,,0,2026-07-13T12:41:28.223Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-1r2i1i2,中国政法大学,source-not-found,website-discovery,,,0,2026-07-13T12:42:16.421Z,1,third-party candidate rejected,补充学校官网或官方院系页
school-18l0556,北京信息科技大学,pending-review,academic-unit-page-discovery,https://www.bistu.edu.cn/,,0,2026-07-13T12:43:04.423Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-zdg5d7,北京联合大学,pending-review,academic-unit-page-discovery,https://www.cas.buu.edu.cn/,,0,2026-07-13T12:43:08.603Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-uwgmsr,中国科学院大学,source-not-found,website-discovery,,,0,2026-07-13T12:43:46.733Z,1,title contains school name,补充学校官网或官方院系页
school-1b6srb,中国社会科学院大学,parse-failed,academic-unit-page-discovery,https://ky.ucass.edu.cn/,,0,2026-07-13T12:43:55.387Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-1s1uhpd,天津工业大学,pending-review,academic-unit-page-discovery,https://www.tiangong.edu.cn/,,0,2026-07-13T12:45:53.195Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-1nr5cwp,中国民航大学,pending-review,academic-unit-page-discovery,https://career.nankai.edu.cn/,,0,2026-07-13T12:46:37.373Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-yzagcn,天津理工大学,source-not-found,website-discovery,,,0,2026-07-13T12:46:29.812Z,1,third-party candidate rejected,补充学校官网或官方院系页
school-18q1c9p,天津中医药大学,pending-review,academic-unit-page-discovery,https://www.tjutcm.edu.cn/,,0,2026-07-13T12:47:11.545Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-w2ywqk,天津职业技术师范大学,source-not-found,website-discovery,,,0,2026-07-13T12:48:02.340Z,1,title contains school name,补充学校官网或官方院系页
school-7jaky5,天津财经大学,pending-review,academic-unit-page-discovery,https://zhujiang.tjufe.edu.cn/,,0,2026-07-13T12:49:53.291Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-16q8rm2,河北地质大学,source-not-found,website-discovery,,,0,2026-07-13T12:51:57.752Z,1,title contains school name,补充学校官网或官方院系页
school-jlm0dy,华北理工大学,source-not-found,website-discovery,,,0,2026-07-13T12:53:06.245Z,1,search title indicates official site,补充学校官网或官方院系页
school-3a2bac,河北农业大学,pending-review,academic-unit-page-discovery,http://hebeedu.cn/,,0,2026-07-13T12:53:51.568Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-tk3xhj,河北北方学院,source-not-found,website-discovery,,,0,2026-07-13T12:54:37.939Z,1,copyright text exists,补充学校官网或官方院系页
school-1yfg4i3,河北师范大学,source-not-found,website-discovery,,,0,2026-07-13T12:55:42.653Z,1,fetch failed,补充学校官网或官方院系页
school-1en5wyp,石家庄铁道大学,source-not-found,website-discovery,,,0,2026-07-13T12:55:42.654Z,1,fetch failed,补充学校官网或官方院系页
school-11envda,燕山大学,manual-source-required,,,,0,2026-07-13T13:03:24.915Z,1,Invalid non-directory or non-school source was removed; official academic unit source needs rediscovery or manual verification.,人工补充官方来源
school-1lg54a9,河北中医药大学,source-not-found,website-discovery,,,0,2026-07-13T12:57:30.036Z,1,title contains school name,补充学校官网或官方院系页
school-13zpd4k,山西大学,pending-review,academic-unit-page-discovery,https://www.sxu.edu.cn/,,0,2026-07-13T12:58:01.440Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-ne7gpm,太原科技大学,source-not-found,website-discovery,,,0,2026-07-13T12:58:20.991Z,1,candidate inaccessible: fetch failed,补充学校官网或官方院系页
school-7dauzc,中北大学,pending-review,academic-unit-page-discovery,https://www.nuc.edu.cn/,,0,2026-07-13T12:59:00.577Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-ghii1c,山西医科大学,source-not-found,website-discovery,,,0,2026-07-13T13:15:50.194Z,1,title contains school name,补充学校官网或官方院系页
school-5ate9v,山西财经大学,parse-failed,academic-unit-page-discovery,https://fx.sxufe.edu.cn/,,0,2026-07-13T13:16:32.071Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-ioj951,内蒙古科技大学,pending-review,academic-unit-page-discovery,https://www.imust.edu.cn/,,0,2026-07-13T13:17:30.431Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-151zru7,内蒙古工业大学,pending-review,academic-unit-page-discovery,http://jwch.imut.edu.cn/,,0,2026-07-13T13:18:09.247Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-de6q7q,内蒙古农业大学,source-not-found,website-discovery,,,0,2026-07-13T13:18:09.605Z,1,title contains school name,补充学校官网或官方院系页
school-17ycdgk,内蒙古医科大学,source-not-found,website-discovery,,,0,2026-07-13T13:18:47.608Z,1,title contains school name,补充学校官网或官方院系页
school-nvcv9i,辽宁大学,pending,validate,https://www.lnu.edu.cn/,https://www.lnu.edu.cn/rcpy.htm,0,2026-07-13T13:19:40.834Z,1,单校抓取结果数量异常：1,继续自动抓取或人工复核
school-1118awu,沈阳工业大学,source-not-found,website-discovery,,,0,2026-07-13T13:20:38.827Z,1,title contains school name,补充学校官网或官方院系页
school-1m5hglk,沈阳航空航天大学,pending-review,academic-unit-page-discovery,https://www.sau.edu.cn/,,0,2026-07-13T13:21:20.044Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-b6sno3,大连交通大学,pending-review,academic-unit-page-discovery,http://jcb.djtu.edu.cn/,,0,2026-07-13T13:24:09.051Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-xgs1gr,大连海事大学,pending-review,academic-unit-page-discovery,https://www.dlmu.edu.cn/,,0,2026-07-13T13:24:12.380Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-fjot7m,大连工业大学,source-not-found,website-discovery,,,0,2026-07-13T13:24:50.728Z,1,search title indicates official site,补充学校官网或官方院系页
school-193a7mv,沈阳农业大学,source-not-found,website-discovery,,,0,2026-07-13T13:26:27.543Z,1,title contains school name,补充学校官网或官方院系页
school-f6udgy,中国医科大学,source-not-found,website-discovery,,,0,2026-07-13T13:26:39.319Z,1,third-party candidate rejected,补充学校官网或官方院系页
school-jcqel1,辽宁中医药大学,pending-review,academic-unit-page-discovery,https://www.lnutcm.edu.cn/,,0,2026-07-13T13:27:18.613Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-b9cfo1,沈阳药科大学,parse-failed,academic-unit-page-discovery,https://sp.syphu.edu.cn/,,0,2026-07-13T13:28:06.647Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-14zeq83,沈阳音乐学院,source-not-found,website-discovery,,,0,2026-07-13T13:31:38.580Z,1,third-party candidate rejected,补充学校官网或官方院系页
school-ote0x,大连大学,source-not-found,website-discovery,,,0,2026-07-13T13:32:25.503Z,1,title contains school name,补充学校官网或官方院系页
school-vevdq9,东北电力大学,parse-failed,academic-unit-page-discovery,https://zs.neepu.edu.cn/,,0,2026-07-13T13:34:11.592Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-fvda4a,吉林农业大学,parse-failed,academic-unit-page-discovery,https://www.jlau.edu.cn/,,0,2026-07-13T13:35:16.012Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-qly1rd,吉林师范大学,source-not-found,website-discovery,,,0,2026-07-13T13:36:50.036Z,1,title contains school name,补充学校官网或官方院系页
school-mgfzkx,长春师范大学,source-not-found,website-discovery,,,0,2026-07-13T13:36:57.192Z,1,title contains school name,补充学校官网或官方院系页
school-b2cp4j,吉林财经大学,pending-review,academic-unit-page-discovery,https://jdjyw.jlu.edu.cn/,,0,2026-07-13T13:39:13.294Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-9ram31,东北石油大学,parse-failed,academic-unit-page-discovery,https://xxgk.nepu.edu.cn/,,0,2026-07-13T13:41:43.051Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-qvg466,佳木斯大学,source-not-found,website-discovery,,,0,2026-07-13T13:41:52.625Z,1,third-party candidate rejected,补充学校官网或官方院系页
school-1i94dak,黑龙江八一农垦大学,pending-review,academic-unit-page-discovery,https://www.byau.edu.cn/,,0,2026-07-13T13:42:30.919Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
